serogroup	1_92_S1counts	25_92_S25counts	49_92_S49counts	73_92_S73counts	2_94_S2counts	26_94_S26counts	50_94_S50counts	74_94_S74counts	3_96_S3counts	27_96_S27counts	51_96_S51counts	75_96_S75counts	4_97_S4counts	28_97_S28counts	52_97_S52counts	76_97_S76counts	5_98_S5counts	29_98_S29counts	53_98_S53counts	77_98_S77counts	6_99_S6counts	30_99_S30counts	54_99_S54counts	78_99_S78counts	7_100_S7counts	31_100_S31counts	55_100_S55counts	79_100_S79counts	8_111_S8counts	32_111_S32counts	56_111_S56counts	80_111_S80counts	9_112_S9counts	33_112_S33counts	57_112_S57counts	81_112_S81counts	10_116_S10counts	34_116_S34counts	58_116_S58counts	82_116_S82counts	11_117_S11counts	35_117_S35counts	59_117_S59counts	83_117_S83counts	12_118_S12counts	36_118_S36counts	60_118_S60counts	84_118_S84counts	13_119_S13counts	37_119_S37counts	61_119_S61counts	85_119_S85counts	14_120_S14counts	38_120_S38counts	62_120_S62counts	86_120_S86counts	15_131_S15counts	39_131_S39counts	63_131_S63counts	87_131_S87counts	16_132_S16counts	40_132_S40counts	64_132_S64counts	88_132_S88counts	17_133_S17counts	41_133_S41counts	65_133_S65counts	89_133_S89counts	18_134_S18counts	42_134_S42counts	66_134_S66counts	90_134_S90counts	19_135_S19counts	43_135_S43counts	67_135_S67counts	91_135_S91counts	20_136_S20counts	44_136_S44counts	68_136_S68counts	92_136_S92counts	21_137_S21counts	45_137_S45counts	69_137_S69counts	93_137_S93counts	22_138_S22counts	46_138_S46counts	70_138_S70counts	94_138_S94counts	23_139_S23counts	47_139_S47counts	71_139_S71counts	95_139_S95counts	24_ctrl_S24counts	48_ctrl_S48counts	72_ctrl_S72counts	96_ctrl_S96counts
O145A	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.178	0.521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271	0.202	0.19	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.696	26.554	0	0
O140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532	0.473	0.915	0.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14	0.175	0.505	0.529	0.5	0	0	0	0	0.058	0.087	0	0	0	0.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.074	0	0	0	0.335	0	0	0.029	0.048	0	0	0	0	0	0	0.054	0.081	0.035	0.103	0	0	0	0	0	0	0	0	0	0.064	0.197	0	0.097	0	0.057	0	0.08	0.142	0	0	0.09	0.025	0.051	0	0.072	0.145	0.11	0.41	0	0.058	0	0	0.662	0.641	0.886	1.205	0.292	0.129	0.039	0	0.743	2.035	0	0	0	0	0	0
O139B	0	0.032	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.168	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.029	0	0	0	0	0	0.069	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0
O130B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0.035	0.193	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13	0.044	0.032	0	0.083	0	0.029	0	0	0	0	0	0	0.584	1.467	0.26	0	0	0	0	0	0	0	0	0	0	0.04	0.077	0	0.173	0.335	0.179	0.261	0.473	0.587	0	0	0	0	0	0	0	0	0	0	0.216	0.768	0.311	0.31	0.05	0	0	0	0.07	0.055	0	0	0.213	0.128	0	0	1.113	1.559	0.229	0.168	0.199	0.283	0	0	0	0.051	0	0	0	0	0	0	0	0.116	0	0.069	0.264	0.183	0.234	0.241	0.487	0.226	0.079	0	0.495	0.407	0.15	0	0	0	0	0
O129B	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168	0	0	0	0	0	0	0.096	0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0.241	0	0	0	0	0	0	0	0	0	0	0	0
O126A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0	0	0.28	0.359	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.495	0.509	0	0	0	0	0	0
O123B	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.163	0.283	0.328	0	0.2	0.227	0.696	1.005	0	0	0	0	0	0	0	0	0.387	0.614	0.286	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0.102	0	0	0	0	0	0
O123A	0.219	0.158	0.625	1.082	70.07	57.716	85.593	85.328	0	0	0	0	50.583	31.4	40.884	0	2.994	2.422	4.923	5.426	9.332	3.16	8.251	1.579	0	0	0	0	0.138	0.037	0.089	0.157	12.66	10.227	2.517	2.702	0.029	0.024	0	0	8.405	5.803	16.949	0.888	0.163	0	0.466	0.414	0.901	0.624	0.986	1.256	0.664	1.545	1.184	0	0.808	0.417	1.053	0	0	0	0.114	0	15.752	25.202	35.059	18.447	4.93	6.613	11.151	11.559	37.703	24.613	52.374	27.46	28.061	13.508	41.902	24.057	0.706	0.183	2.939	2.892	0	0.097	0.157	0.073	0	0	0	0	0	0	0.036	0
O119A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0.046	1.259	13.253	0	0	0	0	0	0	0	0	0	0	0	0
O115B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0.632	0.678	0.196	0.073	0	0	0	0	0	0	0	0
O113	0	0.032	0	0	0	0.029	0	0	0.115	0.058	0	0	0.71	1.379	0.26	0	0.078	0.096	0	0	0	0	0	0	0.233	0.161	0	0	0.208	0.632	0	0	0.788	1.132	0.114	0.052	0	0	0	0	2.45	2.109	0.942	0.777	0.163	0.525	0.362	0.103	0	0	0	0	1.607	2.289	0.041	0	1.403	2.404	0.066	0	0.774	0.662	0.114	0.335	0.997	1.239	0.064	0	0	0.076	0	0	0	0.029	0	0	0.035	0	0.04	0	0.088	0.183	0.233	0	0	0.032	0	0	0.866	2.136	0	0	0	0	0	0
O111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07	1.74	0	0
O11	1.271	1.168	1.828	0.833	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0.054	0.081	0.052	0.103	0	0	0	0	0.035	0.083	0	0	0.723	1.058	0.527	0	0.145	0.331	0.572	1.005	0	0	0	0	0.18	0.406	0.102	0.084	0	0	0	0	0	0	0	0	0	0	0.187	0	0.097	0.032	0	0	0.248	0.814	0	0	0	0	0	0
O109C	0	0.032	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22.447	17.602	12.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.109	8.173	5.367	3.996	0.054	0	0.017	0.103	11.267	18.311	24.464	48.492	0	0	0	0	0.043	0.096	0	0	0	0	0	0	0	0	0	0	0.361	0.456	0.512	4.104	0	0	0	0	0	0	0	0	0.177	0.229	1.772	0.723	0.049	0.032	0	0.073	0	0	0	0	0	0	0	0
O107	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0.097	0.095	0	0.168	0	0	0	0	0	0	0	0	0	0	0	0	1.279	0.87	0.634	0.344	0.221	0	0.42	0.241	0	0	0	0	0	0	0	0	0	0	0	0
O103B	0	0	0	0	0	0	0	0.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.21	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0.032	0	0.893	0	0	0	0	0	0.035	0	0	0.06	0.025	0	0	0	0	0	0	0	0	0	0	0	0.046	1.632	2.41	0.049	0	0	0	0	0.102	0	0	7.368	0.646	29.797	0
O100	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.017	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0.048	0.047	0.172	0.335	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0.044	0.32	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
O10	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0.042	0	0.052	0	0	0	0	0	0	0.282	0.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0.15	0	0	0	0	0
id0039189	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0.044	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.101	0	0	0.072	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0038986	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0.232	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248	0	0	0	0	0	0	0
id0038474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.074	0.134	0.104	0.053	0	0	0	0	0	0	0	0	0	0.282	0	0	0	0.069	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0038379	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.179	0	0.105	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0.079	0	0	0.046	0.047	0	0	0	0.039	0	0	0	0	0	0	0	0	0
id0037495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353	0.732	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0
id0037261	0	0	0.048	0	0	0.029	0	0	0	0	0	0	0.334	0.133	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.074	0	0	0.053	0.084	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0	0	1.468	2.537	0.367	0	0.043	0.032	0	0	0	0	0	0	0.399	0.885	0.064	0	0.06	0	0	0	0.036	0.029	0	0	0	0	0	0	0	0.046	0.093	0	0.049	0.097	0	0	0.248	0.814	0.15	0	0	0	0	0
id0036825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473	0.419	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.028	0	0	0.213	0.321	0.329	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0.058	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0.248	0	0	0	0	0	0	0
id0036786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.651	0.728	0.621	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0036569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0.132	0	0	0	0	0	0.08	0.035	0.064	0	0	0	0	0	0	0	0	0	0	0	0.079	0	0.044	0	0	0	0.049	0.161	0.118	0.146	0	0	0	0	0	0	0	0
id0036286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0.157	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0.043	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0035719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0.029	0.071	0.116	0.258	0	0.038	0	0	0.054	0.04	0.121	0.103	0	0	0	0.251	0	0	0.041	0	0.085	0	0.066	0.446	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0.088	0.046	0.047	0.241	0.049	0	0	0	0	0	0	0	0	0	0	0
id0035526	0	0	0	0	0	0	0	0	0.173	0.29	0.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0035490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0.029	0.095	0.116	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0035077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0035009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.852	0	0	0	0	0.25	0.081	0.11	0.175	0	0	0	0	0.138	0.149	0	0	0.21	0.084	0	0	0	0	0	0	0	0	0	0	0	0.121	0.069	0	0	0	0	0	0	0	0	0	0.043	0	0.066	0	0	0	0	0	0.359	0.566	0.128	0	0.03	0.025	0	0	0	0	0	0	2.315	3.391	1.307	1.581	0	0.046	0	0	0	0.032	0	0	0.495	0.61	0	0	0	0	0	0
id0034958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0.045	0.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0.069	0.029	0	0	0	0	0	0	0	0	0.079	0	0	0	0	0	0	0	0	0
id0034911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.017	0	0	0	0	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0.06	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0034188	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0.035	0.037	0.045	0.104	0	0	0	0	0.029	0.024	0.116	0.117	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0.241	0	0	0	0	0	0	0	0	0	0	0	0
id0034145	0.044	0	0	0	0	0	0	0	0.173	0.29	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0033566	0	0	0	0	0	0	0	0	0	0	0	0	0.376	0.534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0033416	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.037	0	0.052	0.105	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0.255	0.064	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0.097	0.065	0.039	0.073	0	0	0	0	0	0	0	0
id0032711	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0	0	0	0.047	0	0	0	0.035	0.037	0	0	0	0	0	0	0	0	0.058	0.047	0	0	0	0	0	0	0.017	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0
id0031845	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0.163	0.162	0.173	0.103	0	0	0	0	0.035	0	0	0	0	0	0	0	0.29	0.236	1.258	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0.275	0.14	0.482	0	0	0.039	0.073	0.248	0.203	0	0	0	0	0	0
id0031642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221	0.229	1.819	1.687	0	0	0	0	0	0	0	0	0	0	0	0
id0030796	0.044	0.126	0.048	0.083	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.017	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0.407	0	0	0	0	0	0
id0030717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186	0.161	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.023	0.096	0.113	0	0	0.108	0.04	0	0	0	0	0	0	0.035	0	0	0	0.043	0.224	0	0	0	0	0	0	0	0	0	0	0.21	0.279	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0030554	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0.048	0.075	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076	0	0.084	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0030392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.042	0	0	0	0.048	0.058	0.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0030295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.255	0	0	0	0	0	0.036	0	0	0	0	0	0.04	0.069	0	0	0.047	0	0	0.032	0	0.073	0	0	0	0	0	0	0	0
id0029794	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.074	0.089	0.104	0	0	0	0	0	0.024	0	0	0.048	0	0	0	0.054	0.121	0.017	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.128	0	0	0	0	0	0	0	0	0	0.069	0.029	0	0	0	0.092	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0029543	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.17	0.116	0	0	0	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	0.203	0	0.476	0	0	0	0
id0029293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.087	0	0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028770	0	0	0	0	0	0	0	0	0.087	0.203	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0.04	0.276	0.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0.217	0.162	0.035	0	0	0	0	0	0	0	0	0	0	0.032	0.132	0	0.097	0	0.057	0	0	0	0	0	0	0	0	0	0.108	0.058	0	0	0	0	0	0	0.397	0.229	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0.089	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0.054	0	0	0	0	0	0	0	0.07	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0.024	0.058	0.047	0	0	0	0	0	0.04	0.035	0.207	0.05	0	0.058	0	0.035	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0028125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.029	0.095	0.029	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0
id0028094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0.052	0.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0	0	0.03	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
